item_name,quantity,notes
Handle,4,Generated from layout
Hinge pair,4,Generated from layout
Legs (Pack of 4),2,Generated from layout
Plinth 60cm,2,Generated from layout
dishwasher (60cm),1,Generated from layout
fridge (60cm),1,Generated from layout
hood (60cm),1,Generated from layout
narrow_cabinet (30cm),2,Generated from layout
sink (60cm),1,Generated from layout
stove (60cm),1,Generated from layout
upper_bridge (60cm),1,Generated from layout
upper_cabinet (60cm),2,Generated from layout
upper_narrow (30cm),2,Generated from layout
